,Energy,Occupation,s,p,d,f,g,h
0,-2261.5038,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
1,-388.1231,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
2,-343.0346,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
3,-343.0345,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
4,-343.0343,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
5,-105.0737,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
6,-92.2758,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
7,-92.255,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
8,-89.4761,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
9,-75.521,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
10,-75.4885,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
11,-75.513,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
12,-57.7637,2.0000,0.0,0.0,1.0,0.0,0.0,0.0
13,-57.5199,2.0000,0.0,0.0,1.0,0.0,0.0,0.0
14,-57.9052,2.0000,0.0,0.0,1.0,0.0,0.0,0.0
15,-57.6931,2.0000,0.0,0.0,1.0,0.0,0.0,0.0
16,-57.8117,2.0000,0.0,0.0,1.0,0.0,0.0,0.0
17,-8.5212,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
18,-8.7719,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
19,-9.88,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
20,-11.2695,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
21,-10.4773,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
22,-11.2317,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
23,-11.1947,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
24,-11.2117,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
25,-11.2332,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
26,-11.2455,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
27,-7.9439,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
28,-8.6331,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
29,-11.2003,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
30,-11.1746,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
31,-11.1909,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
32,-11.1965,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
33,-17.1791,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
34,-13.8477,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
35,-11.251,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
36,-11.2317,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
37,-11.2092,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
38,-11.1733,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
39,-8.4248,2.0000,0.794,0.206,0.0,0.0,0.0,0.0
40,-6.7191,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
41,-6.7768,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
42,-6.6969,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
43,-13.0204,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
44,-7.7527,2.0000,0.176,0.824,0.0,0.0,0.0,0.0
45,-11.2222,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
46,-11.2333,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
47,-8.5486,2.0000,0.0,0.0,1.0,0.0,0.0,0.0
48,-9.5918,2.0000,0.114,0.0,0.886,0.0,0.0,0.0
49,-9.6511,2.0000,0.0,0.0,1.0,0.0,0.0,0.0
50,-12.9839,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
51,-11.2598,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
52,-11.286,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
53,-8.5014,2.0000,0.0,0.0,1.0,0.0,0.0,0.0
54,-11.042,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
55,-1.3864,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
56,-6.4117,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
57,-1.2088,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
58,-1.4237,2.0000,0.182,0.818,0.0,0.0,0.0,0.0
59,-19.8175,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
60,-6.6356,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
61,-6.5923,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
62,-1.2241,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
63,-1.2758,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
64,-2.0981,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
65,-4.5036,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
66,-1.1277,2.0000,0.0,0.0,0.0,1.0,0.0,0.0
67,-1.0455,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
68,-5.3123,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
69,-6.3639,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
70,-8.6017,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
71,-7.8594,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
72,-10.0288,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
73,-7.2344,2.0000,0.0,0.0,0.0,1.0,0.0,0.0
74,-8.9946,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
75,-10.7352,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
76,-10.3764,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
77,-6.2608,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
78,-3.2949,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
79,-3.49,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
80,-2.3898,2.0000,1.0,0.0,0.0,0.0,0.0,0.0
81,-2.6907,2.0000,0.0,1.0,0.0,0.0,0.0,0.0
